Y,X Points,X Differences,X Difference Count,X Differ Count,X Differ Min,X Differ Max
0,"[0, 603, 919, 923, 927, 944, 1215, 1227]","[603, 316, 4, 4, 17, 271, 12]",7,7,4,603
1,"[0, 4, 47, 572, 1215, 1227]","[4, 43, 525, 643, 12]",5,5,4,643
2,"[0, 2, 329, 556, 1215, 1227]","[2, 327, 227, 659, 12]",5,5,2,659
3,"[0, 1, 399, 544, 1216, 1227]","[1, 398, 145, 672, 11]",5,5,1,672
4,"[0, 1, 444, 528, 1219, 1227]","[1, 443, 84, 691, 8]",5,5,1,691
5,"[0, 511, 522, 1227]","[511, 11, 705]",3,3,11,705
6,"[0, 514, 519, 1227]","[514, 5, 708]",3,3,5,708
7,"[0, 514, 518, 1227]","[514, 4, 709]",3,3,4,709
8,"[0, 515, 518, 1227]","[515, 3, 709]",3,3,3,709
9,"[0, 516, 518, 1227]","[516, 2, 709]",3,3,2,709
10,"[0, 1227]",[1227],1,1,1227,1227
11,"[0, 1227]",[1227],1,1,1227,1227
12,"[0, 1227]",[1227],1,1,1227,1227
13,"[0, 1227]",[1227],1,1,1227,1227
14,"[0, 1227]",[1227],1,1,1227,1227
15,"[0, 1227]",[1227],1,1,1227,1227
16,"[0, 1227]",[1227],1,1,1227,1227
17,"[0, 1227]",[1227],1,1,1227,1227
18,"[0, 1227]",[1227],1,1,1227,1227
19,"[0, 1227]",[1227],1,1,1227,1227
20,"[0, 1227]",[1227],1,1,1227,1227
21,"[0, 1227]",[1227],1,1,1227,1227
22,"[0, 1227]",[1227],1,1,1227,1227
23,"[0, 1227]",[1227],1,1,1227,1227
24,"[0, 1227]",[1227],1,1,1227,1227
25,"[0, 1227]",[1227],1,1,1227,1227
26,"[0, 1227]",[1227],1,1,1227,1227
27,"[0, 1227]",[1227],1,1,1227,1227
28,"[0, 1227]",[1227],1,1,1227,1227
29,"[0, 1227]",[1227],1,1,1227,1227
30,"[0, 1227]",[1227],1,1,1227,1227
31,"[0, 1227]",[1227],1,1,1227,1227
32,"[0, 1227]",[1227],1,1,1227,1227
33,"[0, 1227]",[1227],1,1,1227,1227
34,"[0, 1227]",[1227],1,1,1227,1227
35,"[0, 1227]",[1227],1,1,1227,1227
36,"[0, 1227]",[1227],1,1,1227,1227
37,"[0, 1227]",[1227],1,1,1227,1227
38,"[0, 1227]",[1227],1,1,1227,1227
39,"[0, 1227]",[1227],1,1,1227,1227
40,"[0, 1227]",[1227],1,1,1227,1227
41,"[0, 1227]",[1227],1,1,1227,1227
42,"[0, 1227]",[1227],1,1,1227,1227
43,"[0, 1227]",[1227],1,1,1227,1227
44,"[0, 1227]",[1227],1,1,1227,1227
45,"[0, 1227]",[1227],1,1,1227,1227
46,"[0, 1227]",[1227],1,1,1227,1227
47,"[0, 1227]",[1227],1,1,1227,1227
48,"[0, 1227]",[1227],1,1,1227,1227
49,"[0, 1227]",[1227],1,1,1227,1227
50,"[0, 1227]",[1227],1,1,1227,1227
51,"[0, 1227]",[1227],1,1,1227,1227
52,"[0, 1227]",[1227],1,1,1227,1227
53,"[0, 1227]",[1227],1,1,1227,1227
54,"[0, 1227]",[1227],1,1,1227,1227
55,"[0, 1227]",[1227],1,1,1227,1227
56,"[0, 1227]",[1227],1,1,1227,1227
57,"[0, 1227]",[1227],1,1,1227,1227
58,"[0, 1227]",[1227],1,1,1227,1227
59,"[0, 1227]",[1227],1,1,1227,1227
60,"[0, 1227]",[1227],1,1,1227,1227
61,"[0, 1227]",[1227],1,1,1227,1227
62,"[0, 1227]",[1227],1,1,1227,1227
63,"[0, 1227]",[1227],1,1,1227,1227
64,"[0, 1227]",[1227],1,1,1227,1227
65,"[0, 1227]",[1227],1,1,1227,1227
66,"[0, 1227]",[1227],1,1,1227,1227
67,"[0, 1227]",[1227],1,1,1227,1227
68,"[0, 1227]",[1227],1,1,1227,1227
69,"[0, 1227]",[1227],1,1,1227,1227
70,"[0, 1227]",[1227],1,1,1227,1227
71,"[0, 1227]",[1227],1,1,1227,1227
72,"[0, 1227]",[1227],1,1,1227,1227
73,"[0, 1227]",[1227],1,1,1227,1227
74,"[0, 1227]",[1227],1,1,1227,1227
75,"[0, 1227]",[1227],1,1,1227,1227
76,"[0, 1, 1227]","[1, 1226]",2,2,1,1226
77,"[0, 1, 1227]","[1, 1226]",2,2,1,1226
78,"[0, 1, 855, 858, 1227]","[1, 854, 3, 369]",4,4,1,854
79,"[0, 1, 855, 858, 1227]","[1, 854, 3, 369]",4,4,1,854
80,"[0, 855, 858, 1227]","[855, 3, 369]",3,3,3,855
81,"[0, 827, 830, 855, 858, 1227]","[827, 3, 25, 3, 369]",5,5,3,827
82,"[0, 826, 831, 833, 835, 851, 858, 1227]","[826, 5, 2, 2, 16, 7, 369]",7,7,2,826
83,"[0, 310, 312, 826, 831, 835, 849, 858, 1227]","[310, 2, 514, 5, 4, 14, 9, 369]",8,8,2,514
84,"[0, 308, 315, 338, 342, 343, 345, 826, 835, 848, 858, 1227]","[308, 7, 23, 4, 1, 2, 481, 9, 13, 10, 369]",11,11,1,481
85,"[0, 307, 316, 337, 346, 364, 370, 825, 834, 848, 858, 1227]","[307, 9, 21, 9, 18, 6, 455, 9, 14, 10, 369]",11,11,6,455
86,"[0, 307, 316, 337, 345, 363, 371, 824, 832, 833, 838, 841, 844, 846, 858, 1227]","[307, 9, 21, 8, 18, 8, 453, 8, 1, 5, 3, 3, 2, 12, 369]",15,15,1,453
87,"[0, 307, 316, 338, 344, 362, 372, 823, 831, 833, 838, 840, 844, 845, 850, 852, 857, 1227]","[307, 9, 22, 6, 18, 10, 451, 8, 2, 5, 2, 4, 1, 5, 2, 5, 370]",17,17,1,451
